Date,Time,Sport,Discipline,Discipline_AR,Phase,Gender,Venue,Country_Entries,Event_ID,Source_URL
2026-05-13,10:00:00,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Semi Final,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0209,https://gccgames.qa/frontend/schedule-competition
2026-05-13,12:00:00,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Final,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0210,https://gccgames.qa/frontend/schedule-competition
2026-05-13,15:00:00,Billiards,Men’s 10-Ball Doubles,10 كرات زوجي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0211,https://gccgames.qa/frontend/schedule-competition
2026-05-13,15:00:00,Billiards,Men’s 10-Ball Doubles,10 كرات زوجي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0212,https://gccgames.qa/frontend/schedule-competition
2026-05-13,17:00:00,Billiards,Men’s 10-Ball Doubles,10 كرات زوجي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0213,https://gccgames.qa/frontend/schedule-competition
2026-05-13,17:00:00,Billiards,Men’s 10-Ball Doubles,10 كرات زوجي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0214,https://gccgames.qa/frontend/schedule-competition
2026-05-13,19:00:00,Billiards,Men’s 10-Ball Doubles,10 كرات زوجي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0215,https://gccgames.qa/frontend/schedule-competition
2026-05-13,19:00:00,Billiards,Men’s 10-Ball Doubles,10 كرات زوجي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0216,https://gccgames.qa/frontend/schedule-competition
2026-05-14,10:00:00,Billiards,Men’s 10-Ball Doubles,10 كرات زوجي رجال,Semi Final,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0217,https://gccgames.qa/frontend/schedule-competition
2026-05-14,10:00:00,Billiards,Men’s 10-Ball Doubles,10 كرات زوجي رجال,Semi Final,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0218,https://gccgames.qa/frontend/schedule-competition
2026-05-14,13:00:00,Billiards,Men’s 10-Ball Doubles,10 كرات زوجي رجال,Final,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0219,https://gccgames.qa/frontend/schedule-competition
2026-05-14,15:00:00,Billiards,Men’s 9-Ball Singles,9 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0220,https://gccgames.qa/frontend/schedule-competition
