Athlete_Name_Lower,Original_Name,Age,Gender,ISG_Sports,ISG_Medal_G,ISG_Medal_S,ISG_Medal_B,ISG_Medal_Events
al fatemah kahawaher,Fatemah Al Kahawaher,24,Women,Weighlifting,0,0,0,
al haider hassan,al haider hassan,,,,0,1,0,Handball:Handball Men(S)
al harthi nasser,Nasser Al Harthi,27,Men,Futsal,0,0,0,
al hassan mostafa,Al Hassan Mostafa,28,Men,Handball,0,0,0,
al hassan turaik,Hassan Al Turaik,27,Men,Handball,0,1,0,Handball:Handball Men(S)
al hizam hussain,Hussain AL HIZAM,27,Men,Athletics / Para Athletics,1,0,0,Athletics:Men's Pole Vault(G)
al khalid najim,Khalid Al Najim,41,Men,Para Powerlifting,0,0,0,
al marzouq mohammed,Mohammed Al Marzouq,18,Men,Weighlifting,0,0,0,
al matrood mohammed,Mohammed Al Matrood,27,Men,Handball,0,0,0,
al mazen yasen,Mazen AL YASEN,29,Men,Athletics / Para Athletics,0,0,0,
al mohammed zaki,Mohammed Al Zaki,19,Men,Swimming,0,0,0,
al mojtaba salem,Mojtaba Al Salem,31,Men,Handball,0,1,0,Handball:Handball Men(S)
al sami yami,Sami Al Yami,26,Men,Athletics / Para Athletics,0,0,0,
al sultan zahrani,Sultan Al Zahrani,27,Men,Karate,0,0,1,Karate:Men -75 kg(B)
alabas mohammed,Alabas Mohammed,33,Men,Handball,0,1,0,Handball:Handball Men(S)
alabdulbaqi montather,Montather Alabdulbaqi,18,Men,Volleyball,0,0,0,
alakkas omar,Omar Alakkas,23,Men,Fencing,0,1,0,Fencing:Fencing Men's Épée Team(S)
alamiri dhay,Dhay Alamiri,18,Women,Fencing,0,0,1,Fencing:Fencing Women's Épée Team(B)
alamri yara,Yara Alamri,21,Women,Boxing,0,0,0,
alanazi amer,alanazi amer,,,,0,1,0,Muaythai:Men 65-70 kg(S)
alanoud alshehri,Alanoud Alshehri,29,Women,Weighlifting,0,0,0,
alard sulaiman,alard sulaiman,,,,1,0,0,Camel Racing:Men's 8000m(G)
alasiri moath,Moath Alasiri,33,Men,Futsal,0,0,0,
alasmari farhan,Farhan Alasmari,29,Men,Futsal,0,0,0,
alassiri mohammed,Mohammed Alassiri,24,Men,Karate,1,0,0,Karate:Men -67 kg(G)
alayed mashael,Mashael Alayed,19,Women,Swimming,0,0,0,
albadri rakan,Rakan Albadri,26,Men,Karate,0,0,0,
albahrani ali,Ali Albahrani,22,Men,Fencing,0,0,0,
albaraa alqarni,ALBARAA ALQARNI,18,Men,Athletics / Para Athletics,0,0,0,
albasher saud,Saud Albasher,29,Men,Karate,0,0,1,Karate:Men -60 kg(B)
aldabboos muhsin,MUHSIN ALDABBOOS,25,Men,Athletics / Para Athletics,0,0,0,
aldahhan humood,Humood Aldahhan,27,Men,Futsal,0,0,0,
aldawood jawad,Jawad Aldawood,26,Men,Fencing,0,1,0,Fencing:Fencing Men's Épée Team(S)
aldhafeeri ameerah,Ameerah Aldhafeeri,21,Women,Table Tennis,0,0,0,
aldhafeeri shahah,Shahah Aldhafeeri,23,Women,Table Tennis,0,0,0,
aldubaisi mohammed,Mohammed ALDUBAISI,33,Men,Athletics / Para Athletics,0,0,0,
alduhami ramzy,Ramzy Alduhami,53,Men,Equestrian,0,0,0,
alessa ali,Ali Alessa,22,Men,Swimming,0,0,0,
alfaleh awrad,Awrad Alfaleh,28,Women,3x3 Basketball,0,0,0,
alfar soha,alfar soha,,,,0,0,1,Muaythai:Women 55-60 kg(B)
alhajji mohammed,Mohammed Alhajji,16,Men,Fencing,0,0,0,
alhajri mohammed,Mohammed Alhajri,22,Men,Judo,0,0,0,
alhammad alhsna,Alhsna Alhammad,21,Women,Fencing,0,0,0,
alharbi khalid,Khalid Alharbi,21,Men,Judo,0,0,0,
alhawsaw mousa,Mousa Alhawsaw,25,Men,Boxing,0,0,1,Boxing:Men's 65kg(B)
alhawsawi marwan,Marwan Alhawsawi,22,Men,Volleyball,0,0,0,
alhelal sarah,SARAH ALHELAL,37,Women,Athletics / Para Athletics,0,0,0,
alhodaib ibrahim,Ibrahim Alhodaib,20,Men,Fencing,0,0,0,
alhumaid lujain,Lujain ALHUMAID,26,Women,Athletics / Para Athletics,0,0,0,
alhumaydani nadha,NADHA ALHUMAYDANI,48,Women,Athletics / Para Athletics,0,1,1,Para Athletics:Para Athletics Women's Discus Throw F56(S); Para Athletics:Women's Shot Put - F55/56(B)
ali alkaibi,Ali Alkaibi,29,Men,Volleyball,0,0,0,
ali alkhadrawi,Ali Alkhadrawi,28,Men,Table Tennis,0,0,1,Table Tennis:Men´s Doubles(B)
ali alkhaibari,Ali Alkhaibari,23,Men,Taekwondo,0,0,0,
ali alkhazal,Ali Alkhazal,27,Men,Weighlifting,0,0,2,Weightlifting:Men's 110kg(B); Weightlifting:Men's 110kg Snatch(B)
ali almuwallad,ALI ALMUWALLAD,20,Men,Athletics / Para Athletics,0,0,0,
ali alnakhli,ALI ALNAKHLI,25,Men,Athletics / Para Athletics,1,0,0,Para Athletics:Athletics / Para Athletics Men's 100m T37(G)
ali alothman,Ali Alothman,23,Men,Weighlifting,0,0,0,
ali alsaffar,ali alsaffar,,,,0,1,0,Handball:Handball Men(S)
ali beedh,Ali BEEDH,21,Men,Athletics / Para Athletics,0,0,0,
aljadani raed,Raed ALJADANI,29,Men,Athletics / Para Athletics,0,0,0,
aljaroudy karmah,Karmah Aljaroudy,32,Women,Duathlon,0,0,0,
aljasim aqeel,Aqeel Aljasim,21,Men,Weighlifting,0,1,0,Weightlifting:Men's 60kg Snatch(S)
aljawharah alkhatlan,Aljawharah Alkhatlan,27,Women,3x3 Basketball,0,0,0,
